Link,name,brand,image,price
https://www.macys.com/shop/product/seiko-mens-automatic-5-sports-green-nylon-strap-watch-42.5mm?ID=10223946&CategoryID=239616,Men's Automatic 5 Sports Green Nylon Strap Watch 42.5mm,Seiko,"https://slimages.macysassets.com/is/image/MCY/products/2/optimized/15389502_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$335.00 
https://www.macys.com/shop/product/fitbit-versa-2-navy-pink-fabric-strap-touchscreen-smart-watch-39mm-a-special-edition?ID=10130331&CategoryID=239616,Versa 2 Navy & Pink Fabric Strap Touchscreen Smart Watch 39mm - A Special Edition,Fitbit,"https://slimages.macysassets.com/is/image/MCY/products/7/optimized/15124167_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$229.95 
https://www.macys.com/shop/product/citizen-eco-drive-mens-calendrier-two-tone-stainless-steel-bracelet-watch-44mm?ID=10135124&CategoryID=239616,Eco-Drive Men's Calendrier Two-Tone Stainless Steel Bracelet Watch 44mm,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/2/optimized/14796052_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$525.00 
https://www.macys.com/shop/product/tommy-hilfiger-mens-brown-leather-strap-watch-44mm?ID=9910869&CategoryID=239616,Men's Brown Leather Strap Watch 44mm,Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/1/optimized/14020151_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/seiko-mens-automatic-5-sports-stainless-steel-mesh-bracelet-watch-42.5mm?ID=10223944&CategoryID=239616,Men's Automatic 5 Sports Stainless Steel Mesh Bracelet Watch 42.5mm,Seiko,"https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15389011_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$350.00 
https://www.macys.com/shop/product/citizen-mens-eco-drive-gold-tone-stainless-steel-bracelet-watch-41mm-bm7252-51e?ID=2904909&CategoryID=239616,Men's Eco-Drive Gold-Tone Stainless Steel Bracelet Watch 41mm BM7252-51E,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/6/optimized/3705856_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$350.00 
https://www.macys.com/shop/product/bulova-mens-futuro-diamond-dress-diamond-accent-gold-tone-stainless-steel-bracelet-watch-42mm?ID=4819954&CategoryID=239616,Men's Futuro Diamond Dress Diamond-Accent Gold-Tone Stainless Steel Bracelet Watch 42mm,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/0/optimized/8750160_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$425.00 
https://www.macys.com/shop/product/bulova-womens-phantom-two-tone-stainless-steel-crystal-bracelet-watch-32.5mm?ID=10152141&CategoryID=239616,Women's Phantom Two-Tone Stainless Steel & Crystal Bracelet Watch 32.5mm,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/2/optimized/14873262_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$425.00 
https://www.macys.com/shop/product/tommy-hilfiger-womens-champagne-leather-strap-watch-36mm-created-for-macys?ID=10204939&CategoryID=239616,"Women's Champagne Leather Strap Watch 36mm, Created For Macy's",Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/3/optimized/15348253_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/tommy-hilfiger-mens-black-silicone-strap-watch-44mm?ID=9910871&CategoryID=239616,Men's Black Silicone Strap Watch 44mm,Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/4/optimized/14615274_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
